LAMMPS (22 Jul 2025 - Update 3)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread.
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 2 2 2
Created orthogonal box = (0 0 0) to (12 12 12)
  1 by 1 by 1 MPI processor grid
Created 864 atoms
  using lattice units in orthogonal box = (0 0 0) to (12 12 12)
  create_atoms CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.129 | 3.129 | 3.129 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
         0   0.75          -3.0307637      1.1236979     -1.9070658     -2.2772393      1728         
        10   0.78063656    -3.0352016      1.1695996     -1.865602      -2.2137754      1728         
        20   0.8509688     -3.1122318      1.2749758     -1.8372559     -2.0109667      1728         
        30   0.81169205    -3.0437361      1.2161289     -1.8276073     -1.1972612      1728         
        40   0.76309725    -2.9676783      1.1433211     -1.8243572     -0.39186767     1728         
        50   0.81705188    -3.0470337      1.2241593     -1.8228744     -0.21591478     1728         
        60   0.87861178    -3.1388734      1.3163923     -1.8224811     -0.26847553     1728         
        70   0.89437111    -3.1631925      1.3400039     -1.8231885     -0.23309569     1728         
        80   0.8987249     -3.1696476      1.3465271     -1.8231205     -0.17599338     1728         
        90   0.89176166    -3.1604078      1.3360943     -1.8243135     -0.10003793     1728         
       100   0.9214698     -3.2052012      1.3806049     -1.8245963     -0.16154738     1728         
       110   0.92689723    -3.214351       1.3887367     -1.8256143     -0.15241809     1728         
       120   0.92922843    -3.2183504      1.3922294     -1.826121      -0.1449359      1728         
       130   0.95696736    -3.2609683      1.4337896     -1.8271787     -0.22228404     1728         
       140   0.95128858    -3.2532314      1.4252813     -1.82795       -0.16955972     1728         
       150   0.95412552    -3.2574854      1.4295318     -1.8279536     -0.13649265     1728         
       160   0.96911964    -3.2804662      1.451997      -1.8284693     -0.15808541     1728         
       170   0.97362536    -3.2874075      1.4587477     -1.8286598     -0.14775338     1728         
       180   0.94609548    -3.2471327      1.4175007     -1.829632      -0.033279086    1728         
       190   0.96934435    -3.2819692      1.4523336     -1.8296356     -0.081519962    1728         
       200   0.93760669    -3.2351009      1.4047823     -1.8303186      0.049276304    1728         
       210   0.95836301    -3.2673223      1.4358807     -1.8314416     -0.020877617    1728         
       220   0.98070354    -3.2999922      1.4693527     -1.8306395     -0.086050704    1728         
       230   0.97804474    -3.2964352      1.4653691     -1.8310661     -0.049727868    1728         
       240   0.97165853    -3.287356       1.4558009     -1.8315551     -0.0062448296   1728         
       250   0.97894751    -3.2974258      1.4667217     -1.8307041     -0.005946821    1728         
       260   0.986095      -3.3085755      1.4774305     -1.8311449     -0.022222789    1728         
       270   0.97610615    -3.2934692      1.4624646     -1.8310046      0.0024561822   1728         
       280   0.97213821    -3.2869128      1.4565196     -1.8303932      0.0085634348   1728         
       290   0.96672735    -3.2792455      1.4484127     -1.8308328      0.029309781    1728         
       300   0.95814446    -3.2671838      1.4355532     -1.8316305      0.050040404    1728         
       310   0.98732795    -3.3118912      1.4792778     -1.8326134     -0.076972665    1728         
