LAMMPS (22 Jul 2025 - Update 3)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread.
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 2 2 2
Created orthogonal box = (0 0 0) to (12 12 12)
  1 by 1 by 1 MPI processor grid
Created 864 atoms
  using lattice units in orthogonal box = (0 0 0) to (12 12 12)
  create_atoms CPU = 0.001 seconds
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 9 9 9
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.01
Per MPI rank memory allocation (min/avg/max) = 3.129 | 3.129 | 3.129 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         Press          Volume    
         0   0.75          -3.0307637      1.1236979     -1.9070658     -2.2772393      1728         
        10   0.85048447    -3.1121637      1.2742502     -1.8379136     -2.0112655      1728         
        20   0.76228417    -2.9673722      1.1421028     -1.8252694     -0.3919541      1728         
        30   0.87755675    -3.1384771      1.3148116     -1.8236655     -0.26974143     1728         
        40   0.89743453    -3.1688603      1.3445938     -1.8242665     -0.17618451     1728         
        50   0.92028462    -3.2047144      1.3788292     -1.8258852     -0.16220118     1728         
        60   0.92831903    -3.218132       1.3908669     -1.8272651     -0.14629728     1728         
        70   0.95003229    -3.2521808      1.4233991     -1.8287818     -0.16947767     1728         
        80   0.96774922    -3.279796       1.4499437     -1.8298523     -0.15866984     1728         
        90   0.94458705    -3.2460411      1.4152407     -1.8308005     -0.032879558    1728         
       100   0.93571717    -3.2334755      1.4019512     -1.8315242      0.050792498    1728         
       110   0.9781621     -3.297562       1.465545      -1.8320171     -0.081860248    1728         
       120   0.970873      -3.2872673      1.454624      -1.8326433     -0.0098701135   1728         
       130   0.98571443    -3.3093875      1.4768603     -1.8325272     -0.034515506    1728         
       140   0.97138246    -3.2870731      1.4553873     -1.8316859      0.0047371834   1728         
       150   0.96201443    -3.2738462      1.4413515     -1.8324947      0.034536043    1728         
       160   0.98470397    -3.3091631      1.4753464     -1.8338167     -0.096467615    1728         
       170   0.9781005     -3.2990113      1.4654527     -1.8335586     -0.076094099    1728         
       180   0.96223194    -3.2754646      1.4416774     -1.8337872      0.023581451    1728         
       190   0.98542906    -3.3105025      1.4764328     -1.8340698     -0.037894216    1728         
       200   0.95541191    -3.2660177      1.4314592     -1.8345585      0.076100611    1728         
       210   0.98727078    -3.3126214      1.4791922     -1.8334292     -0.014303841    1728         
       220   0.98507031    -3.3089203      1.4758953     -1.833025      -0.02216204     1728         
       230   0.99482289    -3.3236285      1.4905072     -1.8331213     -0.069145347    1728         
       240   0.9898061     -3.3174908      1.4829907     -1.8345001     -0.046065344    1728         
       250   0.97832193    -3.300565       1.4657844     -1.8347806     -0.02769494     1728         
       260   0.98116744    -3.3045307      1.4700477     -1.8344829     -0.041613438    1728         
       270   0.99089469    -3.3184029      1.4846217     -1.8337812     -0.053006945    1728         
       280   0.96183392    -3.2752588      1.441081      -1.8341778      0.062962978    1728         
       290   0.99904374    -3.3294463      1.4968312     -1.8326152     -0.10153862     1728         
       300   0.97132934    -3.2892607      1.4553077     -1.833953      -0.0076933341   1728         
       310   0.98647635    -3.3121704      1.4780019     -1.8341685     -0.012190663    1728         
       320   0.98823538    -3.3143642      1.4806374     -1.8337269     -0.021258701    1728         
       330   0.98915053    -3.3151681      1.4820085     -1.8331595     -0.011122458    1728         
       340   0.9730984     -3.2899597      1.4579582     -1.8320015      0.024149282    1728         
       350   0.95329981    -3.2607876      1.4282947     -1.8324929      0.08638041     1728         
       360   0.97004896    -3.2869316      1.4533893     -1.8335423     -0.0024053556   1728         
       370   0.97712895    -3.2975213      1.463997      -1.8335243     -0.04656226     1728         
       380   0.96508128    -3.2803426      1.4459464     -1.8343961     -0.013162278    1728         
       390   0.97849134    -3.2998704      1.4660382     -1.8338321     -0.020729731    1728         
       400   0.99207875    -3.3210081      1.4863958     -1.8346124      0.013365958    1728         
       410   0.99866402    -3.3321468      1.4962622     -1.8358846      0.059029353    1728         
       420   0.9936657     -3.323996       1.4887734     -1.8352225      0.10569004     1728         
       430   1.0051342     -3.3415969      1.5059563     -1.8356406      0.0023619289   1728         
       440   0.98674886    -3.3143256      1.4784102     -1.8359155      0.010812263    1728         
       450   0.9778411     -3.3016528      1.465064      -1.8365888      0.051744549    1728         
       460   0.99501687    -3.3272362      1.4907979     -1.8364384      0.038577377    1728         
       470   0.98722462    -3.3146763      1.479123      -1.8355533      0.061713221    1728         
       480   0.99040765    -3.3186329      1.483892      -1.8347409     -0.02887587     1728         
       490   0.99882263    -3.3326049      1.4964999     -1.836105      -0.10648566     1728         
       500   0.99932071    -3.3337722      1.4972461     -1.8365261     -0.11680755     1728         
       510   0.99154183    -3.3220258      1.4855913     -1.8364345     -0.092025644    1728         
       520   0.98981542    -3.317976       1.4830047     -1.8349713     -0.060950456    1728         
       530   0.97145928    -3.2895636      1.4555024     -1.8340612      0.074432873    1728         
       540   1.0044802     -3.3399589      1.5049764     -1.8349825     -0.041658714    1728         
       550   0.96933997    -3.2871785      1.4523271     -1.8348515      0.086946923    1728         
       560   0.97395728    -3.2938096      1.459245      -1.8345646      0.025682082    1728         
       570   0.99831205    -3.3302559      1.4957349     -1.834521      -0.06407182     1728         
       580   1.0057449     -3.3423718      1.5068712     -1.8355006     -0.078183413    1728         
       590   0.99589786    -3.3276063      1.4921178     -1.8354885     -0.051910291    1728         
       600   0.99926325    -3.3332092      1.49716       -1.8360491     -0.10200255     1728         
       610   0.98773445    -3.3159848      1.4798869     -1.836098      -0.070413226    1728         
       620   0.9834081     -3.3093994      1.4734048     -1.8359945     -0.02453053     1728         
       630   0.9779237     -3.3013606      1.4651878     -1.8361728     -0.0051730036   1728         
       640   1.0162209     -3.3586952      1.522567      -1.8361282     -0.13808424     1728         
       650   0.97369393    -3.2952392      1.4588505     -1.8363888      0.071838227    1728         
       660   0.9846014     -3.3105293      1.4751927     -1.8353366      0.064512841    1728         
       670   0.98865239    -3.3167353      1.4812622     -1.8354731      0.10495458     1728         
       680   1.0046724     -3.3410278      1.5052644     -1.8357634      0.071338582    1728         
       690   0.98741637    -3.315275       1.4794103     -1.8358647      0.11583346     1728         
       700   1.0063823     -3.3443307      1.5078262     -1.8365045     -0.010216544    1728         
       710   1.0077104     -3.3463198      1.5098161     -1.8365037     -0.01993191     1728         
       720   0.98846664    -3.3176963      1.4809839     -1.8367124      0.038321154    1728         
       730   0.99046948    -3.3199353      1.4839847     -1.8359507      0.07048502     1728         
       740   0.98654554    -3.3140426      1.4781056     -1.835937       0.15061003     1728         
       750   1.0058911     -3.3432922      1.5070903     -1.8362019      0.090148913    1728         
